"","Distinct_values"
"clone.id",26322
"AV",71
"CDR1a",58
"CDR2a",60
"CDR3a",20460
"AJ",75
"BV",73
"CDR1b",42
"CDR2b",55
"CDR3b",22093
"BJ",14
"Epitope",847
"Epitope.gene",176
"Epitope.species",32
"MHC",66
"Source.ID",25339
"Reference",234
"Score",5
"AV.gene",45
"AJ.gene",68
"BV.gene",48
"BJ.gene",13
"AV.family",34
"BV.family",23
"AJ.family",66
"BJ.family",2
"MHC.allele",42
"MHC.locus",6
"alpha.seq",21492
"beta.seq",22387
"full.seq",26300
"alpha.seq.constant",21492
"beta.seq.constant",22387
"full.seq.constant",26300
"CDR2.5a",42
"CDR2.5b",38
"crystal.structure",77
"crystal.structure.name",45
"homolog.structure",79
