"","Distinct_values"
"clone.id",24702
"AV",69
"CDR1a",55
"CDR2a",59
"CDR3a",20031
"AJ",75
"BV",72
"CDR1b",42
"CDR2b",54
"CDR3b",21644
"BJ",14
"Epitope",841
"Epitope.gene",175
"Epitope.species",31
"MHC",61
"Source.ID",23969
"Reference",211
"Score",5
"AV.gene",45
"AJ.gene",68
"BV.gene",48
"BJ.gene",13
"AV.family",34
"BV.family",23
"AJ.family",66
"BJ.family",2
"MHC.allele",42
"MHC.locus",6
"alpha.seq",20913
"beta.seq",21872
"full.seq",24702
"alpha.seq.constant",20913
"beta.seq.constant",21872
"full.seq.constant",24702
"CDR2.5a",42
"CDR2.5b",38
"crystal.structure",57
"crystal.structure.name",35
"homolog.structure",68
