"","Distinct_values"
"clone.id",2418
"AV",71
"CDR1a",58
"CDR2a",60
"CDR3a",2010
"AJ",73
"BV",68
"CDR1b",41
"CDR2b",53
"CDR3b",2017
"BJ",14
"Epitope",369
"Epitope.gene",155
"Epitope.species",30
"MHC",66
"Source.ID",1435
"Reference",223
"Score",4
"AV.gene",45
"AJ.gene",66
"BV.gene",46
"BJ.gene",13
"AV.family",34
"BV.family",23
"AJ.family",64
"BJ.family",2
"MHC.allele",42
"MHC.locus",6
"alpha.seq",2092
"beta.seq",2071
"full.seq",2401
"alpha.seq.constant",2092
"beta.seq.constant",2071
"full.seq.constant",2401
"CDR2.5a",42
"CDR2.5b",37
"crystal.structure",76
"crystal.structure.name",45
"homolog.structure",78
