"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRAJ37*01","TRAJ37","TRAJ37",776,787,787
"TRAJ37*02","TRAJ37","TRAJ37",11,787,787
"TRAJ52*01","TRAJ52","TRAJ52",1084,1084,1084
"TRAJ27*01","TRAJ27","TRAJ27",388,388,388
"TRAJ54*01","TRAJ54","TRAJ54",539,539,539
"TRAJ42*01","TRAJ42","TRAJ42",1991,1991,1991
"TRAJ24*02","TRAJ24","TRAJ24",31,35,35
"TRAJ58*01","TRAJ58","TRAJ58",4,4,4
"TRAJ30*01","TRAJ30","TRAJ30",762,762,762
"TRAJ9*01","TRAJ9","TRAJ9",504,504,504
"TRAJ49*01","TRAJ49","TRAJ49",930,930,930
"TRAJ23*01","TRAJ23","TRAJ23",619,620,620
"TRAJ53*01","TRAJ53","TRAJ53",566,566,566
"TRAJ43*01","TRAJ43","TRAJ43",929,929,929
"TRAJ33*01","TRAJ33","TRAJ33",1013,1013,1013
"TRAJ11*01","TRAJ11","TRAJ11",477,477,477
"TRAJ20*01","TRAJ20","TRAJ20",961,961,961
"TRAJ21*01","TRAJ21","TRAJ21",423,423,423
"TRAJ40*01","TRAJ40","TRAJ40",823,823,823
"TRAJ47*02","TRAJ47","TRAJ47",3,406,406
"TRAJ41*01","TRAJ41","TRAJ41",355,355,355
"TRAJ15*01","TRAJ15","TRAJ15",403,403,403
"TRAJ34*01","TRAJ34","TRAJ34",757,757,757
"TRAJ48*01","TRAJ48","TRAJ48",638,638,638
"TRAJ18*01","TRAJ18","TRAJ18",232,232,232
"TRAJ31*01","TRAJ31","TRAJ31",681,681,681
"TRAJ3*01","TRAJ3","TRAJ3",253,253,253
"TRAJ39*01","TRAJ39","TRAJ39",793,793,793
"TRAJ16*01","TRAJ16","TRAJ16",3,3,3
"TRAJ28*01","TRAJ28","TRAJ28",607,607,607
"TRAJ35*01","TRAJ35","TRAJ35",6,6,6
"TRAJ26*01","TRAJ26","TRAJ26",667,667,667
"TRAJ22*01","TRAJ22","TRAJ22",389,389,389
"TRAJ6*01","TRAJ6","TRAJ6",496,496,496
"TRAJ13*01","TRAJ13","TRAJ13",418,434,434
"TRAJ29*01","TRAJ29","TRAJ29",509,509,509
"TRAJ12*01","TRAJ12","TRAJ12",430,430,430
"TRAJ36*01","TRAJ36","TRAJ36",413,413,413
"TRAJ32*02","TRAJ32","TRAJ32",8,344,344
"TRAJ47*01","TRAJ47","TRAJ47",403,406,406
"TRAJ45*01","TRAJ45","TRAJ45",978,978,978
"TRAJ44*01","TRAJ44","TRAJ44",316,316,316
"TRAJ57*01","TRAJ57","TRAJ57",362,362,362
"TRAJ8*01","TRAJ8","TRAJ8",317,317,317
"TRAJ10*01","TRAJ10","TRAJ10",339,339,339
"TRAJ50*01","TRAJ50","TRAJ50",646,646,646
"TRAJ17*01","TRAJ17","TRAJ17",378,378,378
"TRAJ13*02","TRAJ13","TRAJ13",16,434,434
"TRAJ56*01","TRAJ56","TRAJ56",156,156,156
"TRAJ4*01","TRAJ4","TRAJ4",515,515,515
"TRAJ38*01","TRAJ38","TRAJ38",127,127,127
"TRAJ32*01","TRAJ32","TRAJ32",336,344,344
"TRAJ5*01","TRAJ5","TRAJ5",281,281,281
"TRAJ24*01","TRAJ24","TRAJ24",3,35,35
"TRAJ7*01","TRAJ7","TRAJ7",194,194,194
"TRAJ24*03","TRAJ24","TRAJ24",1,35,35
"TRAJ23*02","TRAJ23","TRAJ23",1,620,620
"TRAJ46*01","TRAJ46","TRAJ46",22,22,22
"TRAJ14*01","TRAJ14","TRAJ14",1,1,1
