"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRAV12-2*01","TRAV12-2","TRAV12",1786,1803,3678
"TRAV19*01","TRAV19","TRAV19",1494,1494,1494
"TRAV14/DV4*01","TRAV14/DV4","TRAV14",1300,1321,1321
"TRAV1-2*01","TRAV1-2","TRAV1",1249,1251,1585
"TRAV29/DV5*01","TRAV29/DV5","TRAV29",1201,1202,1202
"TRAV13-1*01","TRAV13-1","TRAV13",1186,1191,1928
"TRAV12-1*01","TRAV12-1","TRAV12",1161,1161,3678
"TRAV27*01","TRAV27","TRAV27",1120,1125,1125
"TRAV21*01","TRAV21","TRAV21",1092,1095,1095
"TRAV17*01","TRAV17","TRAV17",1037,1037,1037
"TRAV3*01","TRAV3","TRAV3",829,829,829
"TRAV5*01","TRAV5","TRAV5",820,820,820
"TRAV38-2/DV8*01","TRAV38-2/DV8","TRAV38",819,819,1409
"TRAV13-2*01","TRAV13-2","TRAV13",737,737,1928
"TRAV12-3*01","TRAV12-3","TRAV12",713,714,3678
"TRAV8-3*01","TRAV8-3","TRAV8",701,713,2384
"TRAV38-1*01","TRAV38-1","TRAV38",589,590,1409
"TRAV4*01","TRAV4","TRAV4",587,587,587
"TRAV35*01","TRAV35","TRAV35",510,516,516
"TRAV25*01","TRAV25","TRAV25",493,493,493
"TRAV8-1*01","TRAV8-1","TRAV8",489,489,2384
"TRAV9-2*01","TRAV9-2","TRAV9",473,474,475
"TRAV20*01","TRAV20","TRAV20",470,475,475
"TRAV8-4*01","TRAV8-4","TRAV8",441,447,2384
"TRAV26-2*01","TRAV26-2","TRAV26",438,439,755
"TRAV24*01","TRAV24","TRAV24",423,423,423
"TRAV8-6*01","TRAV8-6","TRAV8",385,426,2384
"TRAV10*01","TRAV10","TRAV10",383,384,384
"TRAV1-1*01","TRAV1-1","TRAV1",334,334,1585
"TRAV22*01","TRAV22","TRAV22",318,318,318
"TRAV26-1*01","TRAV26-1","TRAV26",313,316,755
"TRAV41*01","TRAV41","TRAV41",311,311,311
"TRAV8-2*01","TRAV8-2","TRAV8",309,309,2384
"TRAV16*01","TRAV16","TRAV16",286,286,286
"TRAV30*01","TRAV30","TRAV30",249,249,249
"TRAV39*01","TRAV39","TRAV39",232,232,232
"TRAV23/DV6*01","TRAV23/DV6","TRAV23",217,217,217
"TRAV6*01","TRAV6","TRAV6",197,203,203
"TRAV2*01","TRAV2","TRAV2",174,175,175
"TRAV36/DV7*01","TRAV36/DV7","TRAV36",148,151,151
"TRAV34*01","TRAV34","TRAV34",127,127,127
"TRAV8-6*02","TRAV8-6","TRAV8",41,426,2384
"TRAV40*01","TRAV40","TRAV40",41,41,41
"TRAV18*01","TRAV18","TRAV18",19,19,19
"TRAV14/DV4*02","TRAV14/DV4","TRAV14",18,1321,1321
"TRAV12-2*02","TRAV12-2","TRAV12",13,1803,3678
"TRAV8-3*02","TRAV8-3","TRAV8",12,713,2384
"TRAV35*02","TRAV35","TRAV35",6,516,516
"TRAV27*03","TRAV27","TRAV27",5,1125,1125
"TRAV13-1*02","TRAV13-1","TRAV13",5,1191,1928
"TRAV20*02","TRAV20","TRAV20",5,475,475
"TRAV8-4*05","TRAV8-4","TRAV8",4,447,2384
"TRAV12-2*03","TRAV12-2","TRAV12",4,1803,3678
"TRAV36/DV7*02","TRAV36/DV7","TRAV36",3,151,151
"TRAV6*03","TRAV6","TRAV6",3,203,203
"TRAV14/DV4*03","TRAV14/DV4","TRAV14",3,1321,1321
"TRAV21*02","TRAV21","TRAV21",3,1095,1095
"TRAV6*02","TRAV6","TRAV6",3,203,203
"TRAV8-4*03","TRAV8-4","TRAV8",2,447,2384
"TRAV26-1*03","TRAV26-1","TRAV26",2,316,755
"TRAV1-2*03","TRAV1-2","TRAV1",2,1251,1585
"TRAV12-3*02","TRAV12-3","TRAV12",1,714,3678
"TRAV2*02","TRAV2","TRAV2",1,175,175
"TRAV29/DV5*02","TRAV29/DV5","TRAV29",1,1202,1202
"TRAV9-1*01","TRAV9-1","TRAV9",1,1,475
"TRAV26-2*02","TRAV26-2","TRAV26",1,439,755
"TRAV9-2*02","TRAV9-2","TRAV9",1,474,475
"TRAV10*02","TRAV10","TRAV10",1,384,384
"TRAV38-1*03","TRAV38-1","TRAV38",1,590,1409
"TRAV26-1*02","TRAV26-1","TRAV26",1,316,755
