"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRBJ2-7*01","TRBJ2-7","TRBJ2",4423,4423,16556
"TRBJ2-1*01","TRBJ2-1","TRBJ2",4400,4400,16556
"TRBJ1-1*01","TRBJ1-1","TRBJ1",3239,3239,9767
"TRBJ1-2*01","TRBJ1-2","TRBJ1",2936,2936,9767
"TRBJ2-3*01","TRBJ2-3","TRBJ2",2902,2902,16556
"TRBJ2-2*01","TRBJ2-2","TRBJ2",2355,2355,16556
"TRBJ2-5*01","TRBJ2-5","TRBJ2",1810,1810,16556
"TRBJ1-5*01","TRBJ1-5","TRBJ1",1597,1597,9767
"TRBJ1-4*01","TRBJ1-4","TRBJ1",809,809,9767
"TRBJ1-6*01","TRBJ1-6","TRBJ1",635,648,9767
"TRBJ1-3*01","TRBJ1-3","TRBJ1",538,538,9767
"TRBJ2-4*01","TRBJ2-4","TRBJ2",337,337,16556
"TRBJ2-6*01","TRBJ2-6","TRBJ2",329,329,16556
"TRBJ1-6*02","TRBJ1-6","TRBJ1",13,648,9767
