"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRBV19*01","TRBV19","TRBV19",3614,3743,3743
"TRBV7-9*01","TRBV7-9","TRBV7",1635,1681,3347
"TRBV27*01","TRBV27","TRBV27",1626,1626,1626
"TRBV20-1*01","TRBV20-1","TRBV20",1520,1521,1521
"TRBV9*01","TRBV9","TRBV9",1181,1186,1186
"TRBV4-1*01","TRBV4-1","TRBV4",1036,1037,1898
"TRBV6-5*01","TRBV6-5","TRBV6",885,885,2598
"TRBV5-1*01","TRBV5-1","TRBV5",775,775,2049
"TRBV11-2*01","TRBV11-2","TRBV11",771,772,1044
"TRBV29-1*01","TRBV29-1","TRBV29",760,763,763
"TRBV12-4*01","TRBV12-4","TRBV12",739,739,1503
"TRBV2*01","TRBV2","TRBV2",739,742,742
"TRBV28*01","TRBV28","TRBV28",675,675,675
"TRBV12-3*01","TRBV12-3","TRBV12",593,593,1503
"TRBV5-6*01","TRBV5-6","TRBV5",578,578,2049
"TRBV3-1*01","TRBV3-1","TRBV3",573,573,573
"TRBV6-1*01","TRBV6-1","TRBV6",551,551,2598
"TRBV4-3*01","TRBV4-3","TRBV4",526,526,1898
"TRBV7-2*01","TRBV7-2","TRBV7",512,523,3347
"TRBV6-3*01","TRBV6-3","TRBV6",497,497,2598
"TRBV7-8*01","TRBV7-8","TRBV7",439,444,3347
"TRBV24-1*01","TRBV24-1","TRBV24",396,396,396
"TRBV15*01","TRBV15","TRBV15",395,403,403
"TRBV13*01","TRBV13","TRBV13",387,388,388
"TRBV5-4*01","TRBV5-4","TRBV5",379,380,2049
"TRBV10-3*01","TRBV10-3","TRBV10",360,370,683
"TRBV7-6*01","TRBV7-6","TRBV7",343,343,3347
"TRBV14*01","TRBV14","TRBV14",338,338,338
"TRBV4-2*01","TRBV4-2","TRBV4",335,335,1898
"TRBV6-6*01","TRBV6-6","TRBV6",331,337,2598
"TRBV30*01","TRBV30","TRBV30",311,315,315
"TRBV18*01","TRBV18","TRBV18",287,287,287
"TRBV7-3*01","TRBV7-3","TRBV7",279,279,3347
"TRBV25-1*01","TRBV25-1","TRBV25",214,214,214
"TRBV5-5*01","TRBV5-5","TRBV5",210,210,2049
"TRBV10-2*01","TRBV10-2","TRBV10",185,189,683
"TRBV6-4*01","TRBV6-4","TRBV6",182,186,2598
"TRBV11-3*01","TRBV11-3","TRBV11",176,177,1044
"TRBV12-5*01","TRBV12-5","TRBV12",171,171,1503
"TRBV6-2*01","TRBV6-2","TRBV6",135,135,2598
"TRBV19*02","TRBV19","TRBV19",123,3743,3743
"TRBV10-1*01","TRBV10-1","TRBV10",123,124,683
"TRBV5-8*01","TRBV5-8","TRBV5",106,106,2049
"TRBV11-1*01","TRBV11-1","TRBV11",95,95,1044
"TRBV7-7*01","TRBV7-7","TRBV7",71,71,3347
"TRBV7-9*03","TRBV7-9","TRBV7",46,1681,3347
"TRBV16*01","TRBV16","TRBV16",31,31,31
"TRBV10-3*02","TRBV10-3","TRBV10",10,370,683
"TRBV15*02","TRBV15","TRBV15",8,403,403
"TRBV7-2*03","TRBV7-2","TRBV7",7,523,3347
"TRBV19*03","TRBV19","TRBV19",6,3743,3743
"TRBV7-4*01","TRBV7-4","TRBV7",6,6,3347
"TRBV9*02","TRBV9","TRBV9",5,1186,1186
"TRBV6-6*02","TRBV6-6","TRBV6",5,337,2598
"TRBV6-9*01","TRBV6-9","TRBV6",5,5,2598
"TRBV10-2*02","TRBV10-2","TRBV10",4,189,683
"TRBV30*02","TRBV30","TRBV30",4,315,315
"TRBV6-4*02","TRBV6-4","TRBV6",4,186,2598
"TRBV7-8*02","TRBV7-8","TRBV7",4,444,3347
"TRBV2*03","TRBV2","TRBV2",3,742,742
"TRBV29-1*02","TRBV29-1","TRBV29",3,763,763
"TRBV7-2*02","TRBV7-2","TRBV7",3,523,3347
"TRBV6-8*01","TRBV6-8","TRBV6",2,2,2598
"TRBV11-3*02","TRBV11-3","TRBV11",1,177,1044
"TRBV6-6*03","TRBV6-6","TRBV6",1,337,2598
"TRBV7-2*04","TRBV7-2","TRBV7",1,523,3347
"TRBV13*02","TRBV13","TRBV13",1,388,388
"TRBV7-8*03","TRBV7-8","TRBV7",1,444,3347
"TRBV11-2*03","TRBV11-2","TRBV11",1,772,1044
"TRBV4-1*02","TRBV4-1","TRBV4",1,1037,1898
"TRBV10-1*02","TRBV10-1","TRBV10",1,124,683
"TRBV5-4*02","TRBV5-4","TRBV5",1,380,2049
"TRBV20-1*02","TRBV20-1","TRBV20",1,1521,1521
