"AV.gene","AJ.gene","BV.gene","BJ.gene","n"
"TRAV27","TRAJ42","TRBV19","TRBJ2-7",145
"TRAV38-1","TRAJ52","TRBV19","TRBJ1-2",140
"TRAV27","TRAJ37","TRBV19","TRBJ2-7",104
"TRAV25","TRAJ42","TRBV19","TRBJ2-3",61
"TRAV27","TRAJ42","TRBV19","TRBJ2-3",48
"TRAV27","TRAJ42","TRBV19","TRBJ2-2",47
"TRAV12-2","TRAJ42","TRBV19","TRBJ2-7",37
"TRAV38-2/DV8","TRAJ52","TRBV19","TRBJ1-2",36
"TRAV25","TRAJ42","TRBV19","TRBJ2-2",34
"TRAV8-6","TRAJ42","TRBV19","TRBJ2-7",28
"TRAV5","TRAJ31","TRBV20-1","TRBJ1-3",27
"TRAV5","TRAJ31","TRBV20-1","TRBJ1-2",26
"TRAV27","TRAJ42","TRBV19","TRBJ1-5",25
"TRAV13-1","TRAJ42","TRBV19","TRBJ2-5",21
"TRAV27","TRAJ42","TRBV19","TRBJ2-1",20
"TRAV8-3","TRAJ42","TRBV19","TRBJ2-7",20
"TRAV24","TRAJ49","TRBV6-5","TRBJ1-2",19
"TRAV27","TRAJ20","TRBV29-1","TRBJ1-1",19
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ2-1",18
"TRAV13-1","TRAJ50","TRBV12-3","TRBJ1-2",18
"TRAV17","TRAJ11","TRBV6-5","TRBJ1-2",18
"TRAV35","TRAJ42","TRBV19","TRBJ2-7",17
"TRAV12-1","TRAJ43","TRBV2","TRBJ2-2",16
"TRAV12-2","TRAJ24","TRBV6-5","TRBJ2-7",16
"TRAV8-1","TRAJ42","TRBV19","TRBJ2-7",16
"TRAV13-2","TRAJ42","TRBV19","TRBJ2-5",15
"TRAV17","TRAJ42","TRBV19","TRBJ2-3",15
"TRAV25","TRAJ42","TRBV19","TRBJ1-5",15
"TRAV27","TRAJ27","TRBV19","TRBJ2-7",15
"TRAV35","TRAJ42","TRBV19","TRBJ1-5",15
"TRAV13-1","TRAJ50","TRBV12-3","TRBJ2-2",14
"TRAV3","TRAJ42","TRBV19","TRBJ2-7",14
"TRAV30","TRAJ42","TRBV19","TRBJ2-3",14
"TRAV29/DV5","TRAJ42","TRBV19","TRBJ2-7",13
"TRAV5","TRAJ42","TRBV19","TRBJ2-7",13
"TRAV8-3","TRAJ40","TRBV4-1","TRBJ2-7",13
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ1-1",12
"TRAV12-3","TRAJ42","TRBV19","TRBJ1-5",12
"TRAV13-2","TRAJ42","TRBV19","TRBJ2-3",12
"TRAV13-2","TRAJ42","TRBV19","TRBJ2-7",12
"TRAV14/DV4","TRAJ52","TRBV19","TRBJ1-5",12
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ2-7",11
"TRAV12-1","TRAJ29","TRBV20-1","TRBJ2-2",11
"TRAV13-2","TRAJ42","TRBV19","TRBJ2-1",11
"TRAV17","TRAJ23","TRBV20-1","TRBJ2-1",11
"TRAV17","TRAJ33","TRBV28","TRBJ1-4",11
"TRAV27","TRAJ42","TRBV19","TRBJ1-2",11
"TRAV8-1","TRAJ29","TRBV11-2","TRBJ1-1",11
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ2-5",10
"TRAV1-2","TRAJ33","TRBV6-1","TRBJ2-3",10
"TRAV12-1","TRAJ12","TRBV2","TRBJ2-2",10
"TRAV12-1","TRAJ43","TRBV12-3","TRBJ2-2",10
"TRAV27","TRAJ37","TRBV19","TRBJ2-1",10
"TRAV3","TRAJ42","TRBV19","TRBJ2-3",10
"TRAV1-2","TRAJ33","TRBV6-4","TRBJ2-3",9
