"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRAJ42*01","TRAJ42","TRAJ42",277,277,277
"TRAJ49*01","TRAJ49","TRAJ49",102,102,102
"TRAJ43*01","TRAJ43","TRAJ43",98,98,98
"TRAJ31*01","TRAJ31","TRAJ31",91,91,91
"TRAJ37*01","TRAJ37","TRAJ37",88,99,99
"TRAJ33*01","TRAJ33","TRAJ33",87,87,87
"TRAJ40*01","TRAJ40","TRAJ40",82,82,82
"TRAJ45*01","TRAJ45","TRAJ45",78,78,78
"TRAJ52*01","TRAJ52","TRAJ52",77,77,77
"TRAJ20*01","TRAJ20","TRAJ20",71,71,71
"TRAJ53*01","TRAJ53","TRAJ53",68,68,68
"TRAJ34*01","TRAJ34","TRAJ34",66,66,66
"TRAJ30*01","TRAJ30","TRAJ30",58,58,58
"TRAJ39*01","TRAJ39","TRAJ39",56,56,56
"TRAJ26*01","TRAJ26","TRAJ26",55,55,55
"TRAJ48*01","TRAJ48","TRAJ48",52,52,52
"TRAJ28*01","TRAJ28","TRAJ28",52,52,52
"TRAJ23*01","TRAJ23","TRAJ23",50,51,51
"TRAJ54*01","TRAJ54","TRAJ54",44,44,44
"TRAJ6*01","TRAJ6","TRAJ6",41,41,41
"TRAJ12*01","TRAJ12","TRAJ12",41,41,41
"TRAJ36*01","TRAJ36","TRAJ36",40,40,40
"TRAJ41*01","TRAJ41","TRAJ41",39,39,39
"TRAJ9*01","TRAJ9","TRAJ9",38,38,38
"TRAJ47*01","TRAJ47","TRAJ47",37,40,40
"TRAJ50*01","TRAJ50","TRAJ50",36,36,36
"TRAJ4*01","TRAJ4","TRAJ4",36,36,36
"TRAJ15*01","TRAJ15","TRAJ15",35,35,35
"TRAJ11*01","TRAJ11","TRAJ11",33,33,33
"TRAJ3*01","TRAJ3","TRAJ3",33,33,33
"TRAJ29*01","TRAJ29","TRAJ29",32,32,32
"TRAJ21*01","TRAJ21","TRAJ21",31,31,31
"TRAJ44*01","TRAJ44","TRAJ44",31,31,31
"TRAJ57*01","TRAJ57","TRAJ57",27,27,27
"TRAJ27*01","TRAJ27","TRAJ27",26,26,26
"TRAJ24*02","TRAJ24","TRAJ24",26,30,30
"TRAJ13*01","TRAJ13","TRAJ13",25,33,33
"TRAJ18*01","TRAJ18","TRAJ18",24,24,24
"TRAJ10*01","TRAJ10","TRAJ10",24,24,24
"TRAJ17*01","TRAJ17","TRAJ17",24,24,24
"TRAJ5*01","TRAJ5","TRAJ5",20,20,20
"TRAJ8*01","TRAJ8","TRAJ8",17,17,17
"TRAJ32*01","TRAJ32","TRAJ32",16,24,24
"TRAJ22*01","TRAJ22","TRAJ22",15,15,15
"TRAJ38*01","TRAJ38","TRAJ38",13,13,13
"TRAJ37*02","TRAJ37","TRAJ37",11,99,99
"TRAJ56*01","TRAJ56","TRAJ56",10,10,10
"TRAJ7*01","TRAJ7","TRAJ7",10,10,10
"TRAJ32*02","TRAJ32","TRAJ32",8,24,24
"TRAJ13*02","TRAJ13","TRAJ13",8,33,33
"TRAJ35*01","TRAJ35","TRAJ35",6,6,6
"TRAJ58*01","TRAJ58","TRAJ58",4,4,4
"TRAJ47*02","TRAJ47","TRAJ47",3,40,40
"TRAJ16*01","TRAJ16","TRAJ16",3,3,3
"TRAJ24*01","TRAJ24","TRAJ24",3,30,30
"TRAJ24*03","TRAJ24","TRAJ24",1,30,30
"TRAJ23*02","TRAJ23","TRAJ23",1,51,51
