"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRAV27*01","TRAV27","TRAV27",169,174,174
"TRAV5*01","TRAV5","TRAV5",145,145,145
"TRAV3*01","TRAV3","TRAV3",143,143,143
"TRAV19*01","TRAV19","TRAV19",142,142,142
"TRAV38-2/DV8*01","TRAV38-2/DV8","TRAV38",135,135,188
"TRAV12-2*01","TRAV12-2","TRAV12",115,132,227
"TRAV17*01","TRAV17","TRAV17",115,115,115
"TRAV29/DV5*01","TRAV29/DV5","TRAV29",98,99,99
"TRAV24*01","TRAV24","TRAV24",72,72,72
"TRAV14/DV4*01","TRAV14/DV4","TRAV14",70,81,81
"TRAV1-2*01","TRAV1-2","TRAV1",68,70,88
"TRAV4*01","TRAV4","TRAV4",66,66,66
"TRAV25*01","TRAV25","TRAV25",66,66,66
"TRAV12-1*01","TRAV12-1","TRAV12",60,60,227
"TRAV8-3*01","TRAV8-3","TRAV8",60,72,215
"TRAV13-1*01","TRAV13-1","TRAV13",54,59,95
"TRAV38-1*01","TRAV38-1","TRAV38",52,53,188
"TRAV35*01","TRAV35","TRAV35",51,57,57
"TRAV21*01","TRAV21","TRAV21",51,54,54
"TRAV22*01","TRAV22","TRAV22",49,49,49
"TRAV16*01","TRAV16","TRAV16",44,44,44
"TRAV41*01","TRAV41","TRAV41",42,42,42
"TRAV26-1*01","TRAV26-1","TRAV26",36,39,73
"TRAV13-2*01","TRAV13-2","TRAV13",36,36,95
"TRAV8-1*01","TRAV8-1","TRAV8",35,35,215
"TRAV10*01","TRAV10","TRAV10",35,36,36
"TRAV12-3*01","TRAV12-3","TRAV12",34,35,227
"TRAV26-2*01","TRAV26-2","TRAV26",33,34,73
"TRAV20*01","TRAV20","TRAV20",29,34,34
"TRAV8-4*01","TRAV8-4","TRAV8",29,35,215
"TRAV8-6*02","TRAV8-6","TRAV8",28,52,215
"TRAV9-2*01","TRAV9-2","TRAV9",26,27,28
"TRAV8-6*01","TRAV8-6","TRAV8",24,52,215
"TRAV6*01","TRAV6","TRAV6",23,29,29
"TRAV8-2*01","TRAV8-2","TRAV8",21,21,215
"TRAV39*01","TRAV39","TRAV39",21,21,21
"TRAV1-1*01","TRAV1-1","TRAV1",18,18,88
"TRAV23/DV6*01","TRAV23/DV6","TRAV23",14,14,14
"TRAV12-2*02","TRAV12-2","TRAV12",13,132,227
"TRAV30*01","TRAV30","TRAV30",12,12,12
"TRAV8-3*02","TRAV8-3","TRAV8",12,72,215
"TRAV36/DV7*01","TRAV36/DV7","TRAV36",9,12,12
"TRAV14/DV4*02","TRAV14/DV4","TRAV14",8,81,81
"TRAV34*01","TRAV34","TRAV34",7,7,7
"TRAV35*02","TRAV35","TRAV35",6,57,57
"TRAV2*01","TRAV2","TRAV2",6,7,7
"TRAV27*03","TRAV27","TRAV27",5,174,174
"TRAV13-1*02","TRAV13-1","TRAV13",5,59,95
"TRAV20*02","TRAV20","TRAV20",5,34,34
"TRAV8-4*05","TRAV8-4","TRAV8",4,35,215
"TRAV12-2*03","TRAV12-2","TRAV12",4,132,227
"TRAV36/DV7*02","TRAV36/DV7","TRAV36",3,12,12
"TRAV6*03","TRAV6","TRAV6",3,29,29
"TRAV14/DV4*03","TRAV14/DV4","TRAV14",3,81,81
"TRAV21*02","TRAV21","TRAV21",3,54,54
"TRAV40*01","TRAV40","TRAV40",3,3,3
"TRAV6*02","TRAV6","TRAV6",3,29,29
"TRAV8-4*03","TRAV8-4","TRAV8",2,35,215
"TRAV26-1*03","TRAV26-1","TRAV26",2,39,73
"TRAV1-2*03","TRAV1-2","TRAV1",2,70,88
"TRAV18*01","TRAV18","TRAV18",2,2,2
"TRAV12-3*02","TRAV12-3","TRAV12",1,35,227
"TRAV2*02","TRAV2","TRAV2",1,7,7
"TRAV29/DV5*02","TRAV29/DV5","TRAV29",1,99,99
"TRAV9-1*01","TRAV9-1","TRAV9",1,1,28
"TRAV26-2*02","TRAV26-2","TRAV26",1,34,73
"TRAV9-2*02","TRAV9-2","TRAV9",1,27,28
"TRAV10*02","TRAV10","TRAV10",1,36,36
"TRAV38-1*03","TRAV38-1","TRAV38",1,53,188
"TRAV26-1*02","TRAV26-1","TRAV26",1,39,73
