"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRAJ37*01","TRAJ37","TRAJ37",88,99,99
"TRAJ37*02","TRAJ37","TRAJ37",11,99,99
"TRAJ52*01","TRAJ52","TRAJ52",77,77,77
"TRAJ27*01","TRAJ27","TRAJ27",26,26,26
"TRAJ54*01","TRAJ54","TRAJ54",44,44,44
"TRAJ42*01","TRAJ42","TRAJ42",277,277,277
"TRAJ24*02","TRAJ24","TRAJ24",26,30,30
"TRAJ58*01","TRAJ58","TRAJ58",4,4,4
"TRAJ30*01","TRAJ30","TRAJ30",58,58,58
"TRAJ9*01","TRAJ9","TRAJ9",38,38,38
"TRAJ49*01","TRAJ49","TRAJ49",102,102,102
"TRAJ23*01","TRAJ23","TRAJ23",50,51,51
"TRAJ53*01","TRAJ53","TRAJ53",68,68,68
"TRAJ43*01","TRAJ43","TRAJ43",98,98,98
"TRAJ33*01","TRAJ33","TRAJ33",87,87,87
"TRAJ11*01","TRAJ11","TRAJ11",33,33,33
"TRAJ20*01","TRAJ20","TRAJ20",71,71,71
"TRAJ21*01","TRAJ21","TRAJ21",31,31,31
"TRAV27*01","TRAV27","TRAV27",169,174,174
"TRAV24*01","TRAV24","TRAV24",72,72,72
"TRAV12-2*01","TRAV12-2","TRAV12",115,132,227
"TRAV3*01","TRAV3","TRAV3",143,143,143
"TRAJ40*01","TRAJ40","TRAJ40",82,82,82
"TRAJ47*02","TRAJ47","TRAJ47",3,40,40
"TRAJ41*01","TRAJ41","TRAJ41",39,39,39
"TRAJ15*01","TRAJ15","TRAJ15",35,35,35
"TRAJ34*01","TRAJ34","TRAJ34",66,66,66
"TRAJ48*01","TRAJ48","TRAJ48",52,52,52
"TRAJ18*01","TRAJ18","TRAJ18",24,24,24
"TRAV5*01","TRAV5","TRAV5",145,145,145
"TRAV16*01","TRAV16","TRAV16",44,44,44
"TRAV38-2/DV8*01","TRAV38-2/DV8","TRAV38",135,135,188
"TRAV12-1*01","TRAV12-1","TRAV12",60,60,227
"TRAV35*01","TRAV35","TRAV35",51,57,57
"TRAV30*01","TRAV30","TRAV30",12,12,12
"TRAV12-3*01","TRAV12-3","TRAV12",34,35,227
"TRAJ31*01","TRAJ31","TRAJ31",91,91,91
"TRAJ3*01","TRAJ3","TRAJ3",33,33,33
"TRAJ39*01","TRAJ39","TRAJ39",56,56,56
"TRAJ16*01","TRAJ16","TRAJ16",3,3,3
"TRAJ28*01","TRAJ28","TRAJ28",52,52,52
"TRAJ35*01","TRAJ35","TRAJ35",6,6,6
"TRAJ26*01","TRAJ26","TRAJ26",55,55,55
