"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRAJ42*01","TRAJ42","TRAJ42",175,175,175
"TRAJ43*01","TRAJ43","TRAJ43",87,87,87
"TRAJ49*01","TRAJ49","TRAJ49",86,86,86
"TRAJ33*01","TRAJ33","TRAJ33",76,76,76
"TRAJ40*01","TRAJ40","TRAJ40",72,72,72
"TRAJ45*01","TRAJ45","TRAJ45",70,70,70
"TRAJ20*01","TRAJ20","TRAJ20",66,66,66
"TRAJ52*01","TRAJ52","TRAJ52",62,62,62
"TRAJ31*01","TRAJ31","TRAJ31",62,62,62
"TRAJ37*01","TRAJ37","TRAJ37",61,70,70
"TRAJ34*01","TRAJ34","TRAJ34",61,61,61
"TRAJ53*01","TRAJ53","TRAJ53",57,57,57
"TRAJ30*01","TRAJ30","TRAJ30",55,55,55
"TRAJ39*01","TRAJ39","TRAJ39",55,55,55
"TRAJ26*01","TRAJ26","TRAJ26",52,52,52
"TRAJ28*01","TRAJ28","TRAJ28",49,49,49
"TRAJ23*01","TRAJ23","TRAJ23",44,45,45
"TRAJ48*01","TRAJ48","TRAJ48",44,44,44
"TRAJ54*01","TRAJ54","TRAJ54",41,41,41
"TRAJ12*01","TRAJ12","TRAJ12",39,39,39
"TRAJ36*01","TRAJ36","TRAJ36",37,37,37
"TRAJ47*01","TRAJ47","TRAJ47",36,38,38
"TRAJ9*01","TRAJ9","TRAJ9",35,35,35
"TRAJ6*01","TRAJ6","TRAJ6",35,35,35
"TRAJ4*01","TRAJ4","TRAJ4",34,34,34
"TRAJ15*01","TRAJ15","TRAJ15",32,32,32
"TRAJ11*01","TRAJ11","TRAJ11",31,31,31
"TRAJ41*01","TRAJ41","TRAJ41",31,31,31
"TRAJ21*01","TRAJ21","TRAJ21",30,30,30
"TRAJ3*01","TRAJ3","TRAJ3",30,30,30
"TRAJ29*01","TRAJ29","TRAJ29",30,30,30
"TRAJ44*01","TRAJ44","TRAJ44",30,30,30
"TRAJ50*01","TRAJ50","TRAJ50",26,26,26
"TRAJ57*01","TRAJ57","TRAJ57",26,26,26
"TRAJ18*01","TRAJ18","TRAJ18",24,24,24
"TRAJ27*01","TRAJ27","TRAJ27",23,23,23
"TRAJ13*01","TRAJ13","TRAJ13",23,31,31
"TRAJ10*01","TRAJ10","TRAJ10",23,23,23
"TRAJ17*01","TRAJ17","TRAJ17",20,20,20
"TRAJ5*01","TRAJ5","TRAJ5",19,19,19
"TRAJ8*01","TRAJ8","TRAJ8",17,17,17
"TRAJ32*01","TRAJ32","TRAJ32",16,24,24
"TRAJ22*01","TRAJ22","TRAJ22",12,12,12
"TRAJ38*01","TRAJ38","TRAJ38",11,11,11
"TRAJ7*01","TRAJ7","TRAJ7",10,10,10
"TRAJ37*02","TRAJ37","TRAJ37",9,70,70
"TRAJ24*02","TRAJ24","TRAJ24",9,13,13
"TRAJ56*01","TRAJ56","TRAJ56",9,9,9
"TRAJ32*02","TRAJ32","TRAJ32",8,24,24
"TRAJ13*02","TRAJ13","TRAJ13",8,31,31
"TRAJ35*01","TRAJ35","TRAJ35",6,6,6
"TRAJ58*01","TRAJ58","TRAJ58",4,4,4
"TRAJ16*01","TRAJ16","TRAJ16",3,3,3
"TRAJ24*01","TRAJ24","TRAJ24",3,13,13
"TRAJ47*02","TRAJ47","TRAJ47",2,38,38
"TRAJ24*03","TRAJ24","TRAJ24",1,13,13
"TRAJ23*02","TRAJ23","TRAJ23",1,45,45
