"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRAV19*01","TRAV19","TRAV19",141,141,141
"TRAV38-2/DV8*01","TRAV38-2/DV8","TRAV38",130,130,170
"TRAV3*01","TRAV3","TRAV3",126,126,126
"TRAV17*01","TRAV17","TRAV17",102,102,102
"TRAV5*01","TRAV5","TRAV5",101,101,101
"TRAV12-2*01","TRAV12-2","TRAV12",97,108,199
"TRAV27*01","TRAV27","TRAV27",87,90,90
"TRAV29/DV5*01","TRAV29/DV5","TRAV29",82,83,83
"TRAV4*01","TRAV4","TRAV4",64,64,64
"TRAV1-2*01","TRAV1-2","TRAV1",64,66,79
"TRAV14/DV4*01","TRAV14/DV4","TRAV14",64,75,75
"TRAV24*01","TRAV24","TRAV24",61,61,61
"TRAV12-1*01","TRAV12-1","TRAV12",58,58,199
"TRAV25*01","TRAV25","TRAV25",56,56,56
"TRAV8-3*01","TRAV8-3","TRAV8",51,62,174
"TRAV13-1*01","TRAV13-1","TRAV13",50,55,87
"TRAV21*01","TRAV21","TRAV21",46,49,49
"TRAV22*01","TRAV22","TRAV22",41,41,41
"TRAV16*01","TRAV16","TRAV16",40,40,40
"TRAV41*01","TRAV41","TRAV41",40,40,40
"TRAV35*01","TRAV35","TRAV35",39,45,45
"TRAV38-1*01","TRAV38-1","TRAV38",39,40,170
"TRAV10*01","TRAV10","TRAV10",35,36,36
"TRAV8-1*01","TRAV8-1","TRAV8",33,33,174
"TRAV12-3*01","TRAV12-3","TRAV12",32,33,199
"TRAV13-2*01","TRAV13-2","TRAV13",32,32,87
"TRAV26-1*01","TRAV26-1","TRAV26",29,30,57
"TRAV20*01","TRAV20","TRAV20",26,30,30
"TRAV26-2*01","TRAV26-2","TRAV26",26,27,57
"TRAV9-2*01","TRAV9-2","TRAV9",25,26,27
"TRAV8-4*01","TRAV8-4","TRAV8",25,28,174
"TRAV6*01","TRAV6","TRAV6",20,24,24
"TRAV39*01","TRAV39","TRAV39",20,20,20
"TRAV8-6*01","TRAV8-6","TRAV8",19,34,174
"TRAV8-2*01","TRAV8-2","TRAV8",17,17,174
"TRAV8-6*02","TRAV8-6","TRAV8",15,34,174
"TRAV1-1*01","TRAV1-1","TRAV1",13,13,79
"TRAV30*01","TRAV30","TRAV30",12,12,12
"TRAV23/DV6*01","TRAV23/DV6","TRAV23",11,11,11
"TRAV8-3*02","TRAV8-3","TRAV8",11,62,174
"TRAV36/DV7*01","TRAV36/DV7","TRAV36",9,10,10
"TRAV14/DV4*02","TRAV14/DV4","TRAV14",8,75,75
"TRAV12-2*02","TRAV12-2","TRAV12",7,108,199
"TRAV35*02","TRAV35","TRAV35",6,45,45
"TRAV2*01","TRAV2","TRAV2",6,6,6
"TRAV34*01","TRAV34","TRAV34",6,6,6
"TRAV13-1*02","TRAV13-1","TRAV13",5,55,87
"TRAV12-2*03","TRAV12-2","TRAV12",4,108,199
"TRAV20*02","TRAV20","TRAV20",4,30,30
"TRAV27*03","TRAV27","TRAV27",3,90,90
"TRAV14/DV4*03","TRAV14/DV4","TRAV14",3,75,75
"TRAV21*02","TRAV21","TRAV21",3,49,49
"TRAV40*01","TRAV40","TRAV40",3,3,3
"TRAV6*02","TRAV6","TRAV6",3,24,24
"TRAV8-4*05","TRAV8-4","TRAV8",2,28,174
"TRAV1-2*03","TRAV1-2","TRAV1",2,66,79
"TRAV12-3*02","TRAV12-3","TRAV12",1,33,199
"TRAV8-4*03","TRAV8-4","TRAV8",1,28,174
"TRAV36/DV7*02","TRAV36/DV7","TRAV36",1,10,10
"TRAV29/DV5*02","TRAV29/DV5","TRAV29",1,83,83
"TRAV6*03","TRAV6","TRAV6",1,24,24
"TRAV9-1*01","TRAV9-1","TRAV9",1,1,27
"TRAV26-2*02","TRAV26-2","TRAV26",1,27,57
"TRAV9-2*02","TRAV9-2","TRAV9",1,26,27
"TRAV10*02","TRAV10","TRAV10",1,36,36
"TRAV38-1*03","TRAV38-1","TRAV38",1,40,170
"TRAV26-1*02","TRAV26-1","TRAV26",1,30,57
"TRAV18*01","TRAV18","TRAV18",1,1,1
