"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRBJ1-1*01","TRBJ1-1","TRBJ1",217,217,721
"TRBJ2-7*01","TRBJ2-7","TRBJ2",369,369,1330
"TRBJ2-3*01","TRBJ2-3","TRBJ2",223,223,1330
"TRBJ1-2*01","TRBJ1-2","TRBJ1",215,215,721
"TRBJ2-1*01","TRBJ2-1","TRBJ2",359,359,1330
"TRBJ1-6*01","TRBJ1-6","TRBJ1",40,50,721
"TRBJ2-5*01","TRBJ2-5","TRBJ2",139,139,1330
"TRBJ1-5*01","TRBJ1-5","TRBJ1",127,127,721
"TRBJ1-1*01","TRBJ1-1","TRBJ1",217,217,721
"TRBJ2-2*01","TRBJ2-2","TRBJ2",178,178,1330
"TRBJ1-3*01","TRBJ1-3","TRBJ1",40,40,721
"TRBJ2-4*01","TRBJ2-4","TRBJ2",34,34,1330
"TRBJ1-4*01","TRBJ1-4","TRBJ1",72,72,721
"TRBJ1-6*02","TRBJ1-6","TRBJ1",10,50,721
"TRBJ2-6*01","TRBJ2-6","TRBJ2",28,28,1330
