"AV.gene","AJ.gene","BV.gene","BJ.gene","n"
"TRAV27","TRAJ42","TRBV19","TRBJ2-7",20
"TRAV27","TRAJ37","TRBV19","TRBJ2-7",13
"TRAV24","TRAJ49","TRBV6-5","TRBJ1-2",9
"TRAV8-3","TRAJ40","TRBV4-1","TRBJ2-7",9
"TRAV22","TRAJ28","TRBV6-2","TRBJ2-1",8
"TRAV17","TRAJ33","TRBV28","TRBJ1-4",7
"TRAV27","TRAJ42","TRBV19","TRBJ2-2",6
"TRAV12-3","TRAJ49","TRBV6-5","TRBJ1-2",5
"TRAV38-1","TRAJ52","TRBV19","TRBJ1-2",5
"TRAV38-2/DV8","TRAJ52","TRBV19","TRBJ1-2",5
"TRAV12-2","TRAJ24","TRBV6-5","TRBJ2-7",4
"TRAV13-1","TRAJ42","TRBV19","TRBJ2-5",4
"TRAV25","TRAJ42","TRBV19","TRBJ2-1",4
"TRAV25","TRAJ42","TRBV19","TRBJ2-3",4
"TRAV27","TRAJ42","TRBV19","TRBJ2-3",4
"TRAV27","TRAV27","TRBV19","TRBJ2-7",4
"TRAV29/DV5","TRAJ53","TRBV10-3","TRBJ1-2",4
"TRAV35","TRAJ42","TRBV19","TRBJ2-7",4
"TRAV35","TRAJ50","TRBV12-4","TRBJ1-2",4
"TRAV5","TRAJ31","TRBV20-1","TRBJ1-2",4
"TRAV5","TRAJ31","TRBV20-1","TRBJ1-3",4
"TRAV14/DV4","TRAJ53","TRBV19","TRBJ1-1",3
"TRAV17","TRAJ26","TRBV27","TRBJ2-1",3
"TRAV19","TRAJ4","TRBV4-1","TRBJ2-5",3
"TRAV25","TRAJ42","TRBV19","TRBJ1-5",3
"TRAV25","TRAJ53","TRBV3-1","TRBJ2-4",3
"TRAV27","TRAJ42","TRBV19","TRBJ2-1",3
"TRAV29/DV5","TRAJ42","TRBV19","TRBJ2-7",3
"TRAV3","TRAJ12","TRBV7-9","TRBJ2-7",3
"TRAV3","TRAJ42","TRBV19","TRBJ2-3",3
"TRAV30","TRAJ42","TRBV19","TRBJ2-3",3
"TRAV35","TRAJ42","TRBV19","TRBJ1-5",3
"TRAV4","TRAJ15","TRBV5-6","TRBJ1-2",3
"TRAV5","TRAJ37","TRBV29-1","TRBJ1-4",3
"TRAV8-6","TRAJ42","TRBV19","TRBJ2-7",3
"TRAV1-2","TRAJ10","TRBV27","TRBJ1-5",2
"TRAV1-2","TRAJ33","TRBV19","TRBJ2-6",2
"TRAV1-2","TRAJ6","TRBV10-3","TRBJ1-5",2
"TRAV12-1","TRAJ43","TRBV10-3","TRBJ2-2",2
"TRAV12-2","TRAJ27","TRBV30","TRBJ2-2",2
"TRAV12-2","TRAJ31","TRBV14","TRBJ2-7",2
"TRAV12-2","TRAJ33","TRBV9","TRBJ2-7",2
"TRAV12-2","TRAJ37","TRBV19","TRBJ2-7",2
"TRAV12-2","TRAJ41","TRBV5-6","TRBJ2-7",2
"TRAV12-2","TRAJ45","TRBV19","TRBJ2-2",2
"TRAV12-2","TRAJ45","TRBV24-1","TRBJ2-5",2
